Id,Name,Notes
353,Health Impact (caregiver impact),"ONLY use when caregiver health is affected by caregiving: 'caregiving affects my health', 'health problems from stress', 'caregiver health declining', 'sick from caregiving' - NOT for normal tiredness, minor aches, or health issues unrelated to caregiving."
354,"Fatigue, exhaustion","ONLY use when caregiver reports fatigue/exhaustion characterized by a lack of energy and motivation, with expressions such as: 'exhausted', 'so tired', 'fatigue from caregiving', 'worn out', 'constantly tired' - may be considered clinically significant when it persists for six months or longer. — NOT for normal tiredness, temporary fatigue, or situations that might cause fatigue without explicit reports."
355,"Injuries (risk of falling and increased injuries due to assisting younger children exploratory behaviors, impulse control)","Only use when caregiver describes ACTUAL injuries that have occurred, not general risk of falling or hypothetical injury scenarios. For fall risk without actual injury, use [297] Falls."
356,"Medical and therapy appointments for parents increased due to issues caused by child's disorder (injuries, psychiatric)","ONLY use when caregiver increases own appointments due to caregiving stress/injuries: 'more doctor visits for stress', 'therapy for caregiver', 'increased medical appointments', 'psychiatric care from caregiving' - NOT for routine care, child's appointments, or unrelated medical visits."
357,"Sleep, disrupted","ONLY use when caregiver explicitly describes disrupted sleep for the patient OR the caregiver: ""can't sleep"", ""sleep problems"", ""up all night"", ""sleep interrupted"", ""wakes up multiple times"", or other clear descriptions of abnormal sleep patterns. In the rationale, specify WHETHER this applies to the patient or the caregiver. NOT for ruled-out sleep issues, hypothetical scenarios, or screening mentions without actual sleep disruption. NOTE: P8 team is considering splitting this into separate patient/caregiver codes."
358,Reproductive/Family Planning,"ONLY use when caregiving influences decisions about having more children: 'don't want more kids', 'can't handle another child', 'family planning affected', 'decided against more children', 'caregiving limits family size' - NOT for normal family planning, unrelated reproductive decisions, or theoretical discussions."
359,Social Impacts,"HIGH REJECTION RATE. This is a CATEGORY header. Do NOT use directly — use specific sub-codes instead (e.g., [365] Socialization reduced, [360] Stigma, [361] Social isolation)."
360,"Independence, mobility, and agency decreased due to child's need for daily care","ONLY use when caregiver's independence is reduced due to care needs: 'can't leave child', 'tied to caregiving', 'independence lost', 'mobility limited by care', 'no freedom' - NOT for normal parenting responsibilities, temporary limitations, or choices without actual independence reduction."
361,Law enforcement encounters - includes security guards and police (caregiver impact),(due to behaviors of patient)
362,"Privacy, Loss of","ONLY use when caregiver privacy is reduced due to care tasks: 'no privacy', 'lost privacy', 'can't have private time', 'privacy invaded', 'personal space lost' - NOT for normal family life, temporary privacy loss, or minor interruptions without significant privacy reduction."
363,Siblings and family impacted,"ONLY use when siblings/family roles are significantly affected: 'siblings affected', 'family roles changed', 'family activities modified', 'siblings' lives disrupted', 'family dynamics altered' - NOT for minor family adjustments, temporary changes, or normal family adaptations without significant impact."
364,"Social Isolation, Loneliness","ONLY use when explicitly stated social isolation/loneliness for patient/caregiver: 'socially isolated', 'feel lonely', 'cut off from friends', 'social isolation', 'lonely from caregiving', or when there is a documented reduction in the tendency to seek new interpersonal relationships or maintain existing relationships — NOT for ruled-out situations, temporary isolation, or minor social limitations without actual isolation/loneliness"
365,Socialization and leisure activities reduced or modified,"ONLY use when explicitly stated socialization/leisure activities are reduced/modified for patient/caregiver: 'can't socialize', 'leisure activities limited', 'social activities reduced', 'activities modified', 'socialization decreased', abnormal limitation to a few interests and activities, or reduction in the sharing of information or emotions compared to the person's previous norms — NOT for ruled-out situations, temporary changes, or minor modifications without significant reduction"
366,Stigma,"ONLY use when caregiver reports stigma from others: 'people judge us', 'stigma from others', 'discriminated against', 'people stare and judge', 'stigmatized by community' - NOT for normal social awkwardness, curiosity from others, or self-consciousness without actual stigma from others."
367,Diagnostic Journey,ONLY use as a domain header for organizing Diagnostic Journey conditions - NOT for coding individual diagnostic journey experiences or symptoms.
368,Age of Diagnosis,"ONLY use when age of diagnosis is mentioned: 'diagnosed at age 3', 'age 5 diagnosis', 'diagnosed when 2 years old', 'age at diagnosis' - NOT for current age, developmental ages, or ages without diagnosis context."
369,Challenges,"ONLY use when difficulty in getting diagnosis or diagnostic process stress: 'hard to get diagnosis', 'diagnostic challenges', 'difficult diagnosis process', 'challenges getting diagnosed', 'diagnostic uncertainty' - NOT for post-diagnosis challenges, treatment difficulties, or challenges unrelated to diagnostic process."
